period,date,region,dist_m,temp_C,RH,suf_temp,bats,species
pre-winter,29/5/2023,Jenolan,0,9.84,64.7,8.466666667,no,
pre-winter,29/5/2023,Jenolan,10,9.55,73.5,7.833333333,no,
pre-winter,29/5/2023,Jenolan,20,9.5,74.77,7.766666667,no,
pre-winter,29/5/2023,Jenolan,30,9.03,85.17,8.033333333,no,
pre-winter,29/5/2023,Jenolan,40,10.62,93.17,10,no,
pre-winter,29/5/2023,Jenolan,40,10.65,93.37,10.1,no,
pre-winter,29/5/2023,Jenolan,42,10.86,93.72,10.4,yes,M
pre-winter,29/5/2023,Jenolan,45,10.93,91.28,10.1,yes,M
pre-winter,29/5/2023,Jenolan,48,10.89,91.7,10.33333333,yes,M
pre-winter,29/5/2023,Jenolan,52,11,92.52,10.73333333,yes,M
pre-winter,29/5/2023,Jenolan,52,11.01,92.48,10.6,yes,M
mid-winter,17/7/2023,Jenolan,0,14.53,60.3,7.466666667,no,
mid-winter,17/7/2023,Jenolan,10,11.63,70.38,7.5,no,
mid-winter,17/7/2023,Jenolan,20,9.92,81.78,7.666666667,no,
mid-winter,17/7/2023,Jenolan,30,9.14,87.21,7.2,no,
mid-winter,17/7/2023,Jenolan,40,8.67,89.66,7.466666667,no,
mid-winter,17/7/2023,Jenolan,50,,,9.766666667,no,
mid-winter,17/7/2023,Jenolan,51,9.46,94.03,9.8,yes,M
mid-winter,17/7/2023,Jenolan,60,10.44,94.1,9,yes,M
mid-winter,17/7/2023,Jenolan,63,10.49,93.41,9.566666667,yes,M
mid-winter,17/7/2023,Jenolan,68,11.05,93.26,10.5,yes,M
Survey data,17/7/2023,Jenolan,70,11.07,91.01,9.7,yes,M
mid-winter,17/7/2023,Jenolan,80,11.11,92.08,9.8,no,
mid-winter,17/7/2023,Jenolan,90,11.3,93.67,10.63333333,no,
mid-winter,17/7/2023,Jenolan,100,11.4,92.05,10.33333333,no,
late-winter,19/9/2023,Jenolan,0,12.11,58.28,9.866666667,no,
late-winter,19/9/2023,Jenolan,10,11.55,70.18,8.266666667,no,
late-winter,19/9/2023,Jenolan,20,14.05,63.02,8.333333333,no,
late-winter,19/9/2023,Jenolan,30,10.59,75.65,8.133333333,no,
late-winter,19/9/2023,Jenolan,40,9.77,84.39,7.1,no,
late-winter,19/9/2023,Jenolan,50,9.16,84.84,8,no,
late-winter,19/9/2023,Jenolan,60,10.53,93.79,10.5,no,
late-winter,19/9/2023,Jenolan,70,11.02,92.57,10.6,no,
late-winter,19/9/2023,Jenolan,80,11.1,92.68,10.46666667,yes,M
late-winter,19/9/2023,Jenolan,90,10.9,91.66,10.23333333,no,
pre-winter,19/5/2023,Yessabah,0,21.15,55.58,15.7,no,
pre-winter,19/5/2023,Yessabah,10,19.8,63.22,15.26666667,no,
pre-winter,19/5/2023,Yessabah,12,17.96,67.32,15.46666667,yes,M
pre-winter,19/5/2023,Yessabah,12.5,17.04,68.54,14.9,yes,M
pre-winter,19/5/2023,Yessabah,13,16.88,70.66,14.66666667,yes,M
pre-winter,19/5/2023,Yessabah,13.2,16.67,72,14.63333333,yes,M
pre-winter,19/5/2023,Yessabah,13.5,16.13,78.8,14.75333333,yes,M
pre-winter,19/5/2023,Yessabah,14,16.11,75.53,14.66666667,yes,M
pre-winter,19/5/2023,Yessabah,15,16.14,74.91,14.96666667,yes,M
pre-winter,19/5/2023,Yessabah,20,16.58,82.91,14.93333333,yes,M
pre-winter,19/5/2023,Yessabah,24,16.58,83.47,15.76666667,yes,R
pre-winter,19/5/2023,Yessabah,25,16.58,79.94,15.6,yes,R
pre-winter,19/5/2023,Yessabah,30,16.65,80.53,15.43333333,yes,R
pre-winter,19/5/2023,Yessabah,40,16.71,84.4,15.56666667,no,
pre-winter,19/5/2023,Yessabah,42,16.66,83.17,15.43333333,yes,R
pre-winter,19/5/2023,Yessabah,50,16.05,84.88,15.8,yes,R
pre-winter,19/5/2023,Yessabah,51,17.03,86.39,16.53333333,yes,R
pre-winter,19/5/2023,Yessabah,51,15.15,86.33,16.96666667,yes,R
pre-winter,19/5/2023,Yessabah,55,16.72,79.92,16.23333333,yes,R
pre-winter,19/5/2023,Yessabah,56,17,85.98,17.26666667,yes,R
pre-winter,19/5/2023,Yessabah,57,17.09,86.65,16.66666667,yes,R
pre-winter,19/5/2023,Yessabah,60,17.07,88.03,16.66666667,no,
pre-winter,19/5/2023,Yessabah,50,16.77,85.38,16.2,yes,R
pre-winter,19/5/2023,Yessabah,56,16.76,85.76,16.73333333,yes,M
pre-winter,19/5/2023,Yessabah,60,16.79,87.37,16.56666667,no,
pre-winter,19/5/2023,Yessabah,70,17.34,91.59,17.06666667,yes,R
pre-winter,19/5/2023,Yessabah,71,17.51,91.36,18.13333333,yes,M
mid-winter,21/7/2023,Yessabah,0,17.96,47.78,14.36666667,no,
mid-winter,21/7/2023,Yessabah,10,14.48,67.96,12.86666667,yes,M
mid-winter,21/7/2023,Yessabah,11,14.48,67.96,12.56666667,yes,M
mid-winter,21/7/2023,Yessabah,10,14.39,68.02,13.76666667,no,
mid-winter,21/7/2023,Yessabah,20,14.39,70.52,13.66666667,no,
mid-winter,21/7/2023,Yessabah,30,14.43,70.76,14.23333333,no,
mid-winter,21/7/2023,Yessabah,27,14.67,73.86,15.46666667,yes,M
mid-winter,21/7/2023,Yessabah,40,14.78,76.5,14.33333333,no,
mid-winter,21/7/2023,Yessabah,41,14.78,76.5,14.46666667,yes,M
mid-winter,21/7/2023,Yessabah,50,14.89,76.76,15.16666667,no,
mid-winter,21/7/2023,Yessabah,55,15.18,77.71,14.83333333,yes,M
mid-winter,21/7/2023,Yessabah,60,15.39,79.04,15.4,no,
mid-winter,21/7/2023,Yessabah,62,15.45,78.51,14.7,no,
mid-winter,21/7/2023,Yessabah,70,15.48,79.84,15.26666667,no,
mid-winter,21/7/2023,Yessabah,50,15.32,76.67,14.6,no,
mid-winter,21/7/2023,Yessabah,52,15.32,78.11,14.36666667,yes,M
mid-winter,21/7/2023,Yessabah,53,15.32,78.11,14.90666667,yes,M
mid-winter,21/7/2023,Yessabah,60,15.47,78.26,15.86666667,no,
mid-winter,21/7/2023,Yessabah,70,16.06,78.39,15.43333333,yes,R
late-winter,25/9/2023,Yessabah,0,15.82,76.81,15.88,no,
late-winter,25/9/2023,Yessabah,10,15.81,78.41,13.86666667,no,
late-winter,25/9/2023,Yessabah,20,15.63,77.64,14.06666667,no,
late-winter,25/9/2023,Yessabah,30,15.57,83.23,15.03333333,no,
late-winter,25/9/2023,Yessabah,35,15.71,84.52,15.16666667,yes,M
late-winter,25/9/2023,Yessabah,40,15.84,84.63,15.8,no,
late-winter,25/9/2023,Yessabah,41,,,15.76666667,yes,M
late-winter,25/9/2023,Yessabah,50,16.48,85.77,15.13333333,no,
late-winter,25/9/2023,Yessabah,55,16.48,87.13,15.83333333,yes,R
late-winter,25/9/2023,Yessabah,60,,,15.93333333,yes,R
late-winter,25/9/2023,Yessabah,61,16.6,88.64,15.93333333,yes,R
