file_name,pop,date_exp,ID,ID_gene,sex,FA_mm,mass_g,transmitter_n,freq_hz,temp_exp,temp_act,cond,RH_treatment,chamber_n,setFR_ml_min,FR_ml_min,BP_kPa,FR_adj_ml_min,T_start,T_end,t_tor_h,tor_start,VO2_ml_min,VCO2_ml_min,EWL_mg_h,Tsk_C
RepRec~09-20-2023_wet_300ml_15C_edited,Jenolan,20/9/2023,MAM-8,MAM-resp-8_Jenolan,male,48.7,14.2,255266,151.259,15,15.08874302,wet,94.33828126,2,300,299.8,91.69292,294.4777435,20/9/2023 6:14,20/9/2023 6:16,0,,0.73954723,0.800158544,1.954851009,29.05812482
RepRec~09-20-2023_wet_300ml_15C_edited,Jenolan,20/9/2023,MAM-9,MAM-resp-9_Jenolan,male,48.8,12.5,257501,150.006,15,15.08874302,wet,94.33828126,3,300,298.9714286,91.69722,293.6641303,20/9/2023 6:29,20/9/2023 6:32,4.833333333,,0.199759991,0.204200368,0.733417951,21.61280426
RepRec~09-20-2023_wet_300ml_15C_edited,Jenolan,20/9/2023,MAM-10,MAM-resp-10_Jenolan,male,49.8,16.1,257502,150.066,15,15.12030199,wet,94.14438023,4,300,309.3285714,91.71004,303.8381822,20/9/2023 6:41,20/9/2023 6:47,0,,0.567930955,0.539668419,2.454612717,32.62905401
RepRec~09-20-2023_wet_300ml_15C_edited,Jenolan,20/9/2023,MAM-11,MAM-resp-11_Jenolan,female,47.3,13.5,257503,150.227,15,15.0967827,wet,94.28884287,5,300,322.2285714,91.71207,316.5093419,20/9/2023 6:56,20/9/2023 7:04,0,,0.671214592,0.771089348,3.648083075,30.39518409
RepRec~09-20-2023_wet_300ml_15C_edited,Jenolan,20/9/2023,MAM-12,MAM-resp-12_Jenolan,female,48.8,14.4,257504,150.307,15,15.10487356,wet,94.23911869,6,300,315.2857143,91.70923,309.6895401,20/9/2023 7:12,20/9/2023 7:17,0,,0.848038639,0.908517625,2.754976295,28.42890351
RepRec~09-20-2023_wet_300ml_15C_edited,Jenolan,20/9/2023,MAM-13,MAM-resp-13_Jenolan,female,48.2,13.9,257505,150.38,15,15.1893743,wet,93.72153086,7,300,295.5571429,91.71645,290.3115546,20/9/2023 7:30,20/9/2023 7:33,2.333333333,,0.967618231,0.931957811,5.988628626,25.81684871
RepRec~09-20-2023_wet_300ml_15C_edited,Jenolan,20/9/2023,MAM-14,MAM-resp-14_Jenolan,female,48.5,12.9,257506,150.466,15,15.08275741,wet,94.37510719,8,300,312.3857143,91.71191,306.8411758,20/9/2023 7:45,20/9/2023 7:51,0,,0.653030935,0.745060507,2.672951455,29.59161955
RepRec~09-20-2023_dry_200ml_15C_edited,Jenolan,20/9/2023,MAM-8,MAM-resp-8_Jenolan,male,48.7,14.2,255266,151.259,15,14.6491843,dry,2.756115944,2,200,198.74,91.67503,198.4394623,20/9/2023 8:57,20/9/2023 9:02,0.25,0.25,0.436154233,0.34855051,31.62279208,25.40299207
RepRec~09-20-2023_dry_200ml_15C_edited,Jenolan,20/9/2023,MAM-9,MAM-resp-9_Jenolan,male,48.8,12.5,257501,150.006,15,14.58174324,dry,2.768302225,3,200,197.84,91.65847,197.5407692,20/9/2023 9:11,20/9/2023 9:17,7.583333333,7.583333333,0.02741606,0.021314752,6.933045956,21.51409288
RepRec~09-20-2023_dry_200ml_15C_edited,Jenolan,20/9/2023,MAM-10,MAM-resp-10_Jenolan,male,49.8,16.1,257502,150.066,15,14.52315642,dry,2.77893698,4,200,211.529,91.63904,211.2089969,20/9/2023 9:31,20/9/2023 9:34,1.25,1.25,0.413230392,0.393812069,23.90951673,22.21722814
RepRec~09-20-2023_dry_200ml_15C_edited,Jenolan,20/9/2023,MAM-11,MAM-resp-11_Jenolan,female,47.3,13.5,257503,150.227,15,14.48502551,dry,2.785882828,5,200,221.386,91.62263,221.0510252,20/9/2023 9:46,20/9/2023 9:50,1.333333333,1.333333333,0.059434008,0.051505765,17.13814799,20.01196257
RepRec~09-20-2023_dry_200ml_15C_edited,Jenolan,20/9/2023,MAM-12,MAM-resp-12_Jenolan,female,48.8,14.4,257504,150.307,15,14.40125296,dry,2.801210204,6,200,215.026,91.60513,214.7005862,20/9/2023 10:02,20/9/2023 10:06,2.833333333,2.833333333,0.46878127,0.41398133,16.68374176,20.59997486
RepRec~09-20-2023_dry_200ml_15C_edited,Jenolan,20/9/2023,MAM-13,MAM-resp-13_Jenolan,female,48.2,13.9,257505,150.38,15,14.36711173,dry,2.807483562,7,200,204.9286,91.57955,204.6183807,20/9/2023 10:18,20/9/2023 10:21,5.083333333,5.083333333,0.078164832,0.073402505,5.900529549,20.22005577
RepRec~09-20-2023_dry_200ml_15C_edited,Jenolan,20/9/2023,MAM-14,MAM-resp-14_Jenolan,female,48.5,12.9,257506,150.466,15,14.33556944,dry,2.813293185,8,200,210.8457,91.5705,210.5264919,20/9/2023 10:37,20/9/2023 10:38,2.166666667,2.166666667,0.044115931,0.040550057,6.188318321,18.47340652
RepRec~09-20-2023_dry_200ml_11C_edited,Jenolan,20/9/2023,MAM-8,MAM-resp-8_Jenolan,male,48.7,14.2,255266,151.259,11,11.04343581,dry,2.526420897,2,200,198.74,91.53178,198.5226945,20/9/2023 11:21,20/9/2023 11:26,2.583333333,0.25,0.167607153,0.143050296,7.882645312,17.65465937
RepRec~09-20-2023_dry_200ml_11C_edited,Jenolan,20/9/2023,MAM-9,MAM-resp-9_Jenolan,male,48.8,12.5,257501,150.006,11,11.10100559,dry,2.516686378,3,200,197.84,91.52493,197.6236624,20/9/2023 11:38,20/9/2023 11:41,10,7.583333333,0.012650349,0.011528346,4.815679759,18.83439563
